URL,Detail,Linked From,Detected
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=5npkuigfga1g94kaq8ban36844&size=20&PHPSESSID=5npkuigfga1g94kaq8ban36844,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=5npkuigfga1g94kaq8ban36844&size=10&PHPSESSID=5npkuigfga1g94kaq8ban36844,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=2anpp3ei7acohh9me6jqvpvlm4&size=50&PHPSESSID=2anpp3ei7acohh9me6jqvpvlm4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=5npkuigfga1g94kaq8ban36844&PHPSESSID=5npkuigfga1g94kaq8ban36844,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=2anpp3ei7acohh9me6jqvpvlm4&size=20&PHPSESSID=2anpp3ei7acohh9me6jqvpvlm4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=2anpp3ei7acohh9me6jqvpvlm4&size=10&PHPSESSID=2anpp3ei7acohh9me6jqvpvlm4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=2anpp3ei7acohh9me6jqvpvlm4&PHPSESSID=2anpp3ei7acohh9me6jqvpvlm4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=chemie&PHPSESSID=vav4pq52mgdqv24i8s32mupga5&size=20&PHPSESSID=vav4pq52mgdqv24i8s32mupga5,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=chemie&PHPSESSID=vav4pq52mgdqv24i8s32mupga5&size=50&PHPSESSID=vav4pq52mgdqv24i8s32mupga5,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=chemie&PHPSESSID=vav4pq52mgdqv24i8s32mupga5&size=10&PHPSESSID=vav4pq52mgdqv24i8s32mupga5,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=chemie&PHPSESSID=vav4pq52mgdqv24i8s32mupga5&PHPSESSID=vav4pq52mgdqv24i8s32mupga5,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=i2n5j66i3ms03pn9j0nl7k6252&size=20&PHPSESSID=i2n5j66i3ms03pn9j0nl7k6252,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=i2n5j66i3ms03pn9j0nl7k6252&PHPSESSID=i2n5j66i3ms03pn9j0nl7k6252,404 (Not found),2 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=gq36rccc6lp7n4bgh28tdlte51&size=50&PHPSESSID=gq36rccc6lp7n4bgh28tdlte51,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=i2n5j66i3ms03pn9j0nl7k6252&size=10&PHPSESSID=i2n5j66i3ms03pn9j0nl7k6252,404 (Not found),2 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=gq36rccc6lp7n4bgh28tdlte51&PHPSESSID=gq36rccc6lp7n4bgh28tdlte51,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=gq36rccc6lp7n4bgh28tdlte51&size=10&PHPSESSID=gq36rccc6lp7n4bgh28tdlte51,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=gq36rccc6lp7n4bgh28tdlte51&size=20&PHPSESSID=gq36rccc6lp7n4bgh28tdlte51,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=cekce656qal2p5f6gig04otnm5&size=20&PHPSESSID=cekce656qal2p5f6gig04otnm5,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=cekce656qal2p5f6gig04otnm5&size=10&PHPSESSID=cekce656qal2p5f6gig04otnm5,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=cekce656qal2p5f6gig04otnm5&size=50&PHPSESSID=cekce656qal2p5f6gig04otnm5,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=a8efoqj8f1km4b45qagn2sjr45&size=50&PHPSESSID=a8efoqj8f1km4b45qagn2sjr45,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=a8efoqj8f1km4b45qagn2sjr45&size=20&PHPSESSID=a8efoqj8f1km4b45qagn2sjr45,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=cekce656qal2p5f6gig04otnm5&PHPSESSID=cekce656qal2p5f6gig04otnm5,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=a8efoqj8f1km4b45qagn2sjr45&size=10&PHPSESSID=a8efoqj8f1km4b45qagn2sjr45,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=9tiq6socmto5imrka616as32d4&size=50&PHPSESSID=9tiq6socmto5imrka616as32d4,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=a8efoqj8f1km4b45qagn2sjr45&PHPSESSID=a8efoqj8f1km4b45qagn2sjr45,404 (Not found),unavailable,10/9/11
